id;dni;nombre;numero_compras;tier
1;Card;transform;98890;83714
2;Mancha synthesize;Japón;10312;34767
3;payment Madera;AGP Savings maximizada;9701;37430
4;Central Usabilidad;initiatives transmitter synthesize;30111;78249
5;Futuro;Negro Videojuegos Ringgit;65882;61157
6;Rojo CSS tangible;indexing;47430;74459
7;morph uniforme;Granito;1974;27652
8;Seguridada;Plaza infraestructura Dinánmico;61795;56091
9;facilitate Pelota;calculating online;32030;3850
10;Salud sensor multitarea;payment Chad Inversor;70953;5887
