id;dni;nombre;activo;numero_ventas
1;overriding Account bandwidth;Artesanal;false;82027
2;intuitive;program;true;70654
3;functionalities sticky;connect application;false;22325
4;Palladium bleeding-edge;Madrid Bangladesh Borders;true;37023
5;Genérico Huerta system;Facilitador Francia;true;79972
6;Navarra;Descentralizado cutting-edge array;false;13277
7;Hormigon la enhance;sistémica;true;53374
8;Integración Descentralizado;Gris;true;10336
9;Kiribati architect hacking;reboot Amarillo Account;false;75773
10;Director;emulación colaboración Rioja;false;53949
